CITY,year_updated,last_updated_color,population,area
LOS ALTOS HILLS,2015,2,7922,23.1136651191675
LOS ANGELES,2013,3,3792621,1302.15296428455
LOS BANOS,2014,3,35972,26.2032486722043
LOS GATOS,2010,3,29413,29.1257222837851
LOYALTON,2021,1,769,0.920709150793824
LYNWOOD,2003,4,69772,12.5356467960045
MADERA,2015,2,61416,40.8940324612809
MALIBU,2013,3,12645,51.3544150199834
MAMMOTH LAKES,2019,2,8234,65.5415305018902
MANHATTAN BEACH,2018,2,35135,10.2077605291722
MANTECA,2011,3,67096,53.277522848497
MARICOPA,2020,1,1154,3.88961580189645
MARINA,2010,3,19718,25.2871939951384
MARTINEZ,2016,2,35824,35.3133924857973
MARYSVILLE,2014,3,12072,9.28339986027036
MAYWOOD,1988,4,27395,3.05209665753333
MCFARLAND,2015.0,2,12707,6.91025740876264
MENDOTA,2009.0,3,11014,8.54406497177772
MENIFEE,2022,1,77519,120.751645331265
MENLO PARK,2016,2,32026,45.0287075706267
MERCED,2017,2,78958,60.1562637630688
MILL VALLEY,2016,2,13903,12.5547612812549
MILLBRAE,2015,2,21532,8.44646152488694
MILPITAS,2021,1,66790,35.2741564277676
MISSION VIEJO,2013,3,93305,46.8052357859637
MODESTO,2019,2,201165,116.046348099864
MONROVIA,2015,2,36590,35.5158991722464
MONTAGUE,2014,3,1443,4.64397560386141
MONTCLAIR,2014,3,36664,14.289419113242
MONTE SERENO,2015,2,3341,4.23457888153567
MONTEBELLO,2020,1,62500,21.6838369251279
MONTEREY,2016,2,27810,31.7356610884621
MONTEREY PARK,2014,3,60269,20.0193193546118
MOORPARK,2016,2,34421,33.1491121021864
MORAGA,2015,2,16016,24.5364403525151
MORENO VALLEY,2014,3,193365,133.304989126244
MORGAN HILL,2016,2,37882,33.05491160866
MORRO BAY,2021,1,10234,26.7340559491373
MOUNT SHASTA,2021,1,3394,9.76402505182043
MOUNTAIN VIEW,2014,3,74066,31.7825409113372
MURRIETA,2020,1,103466,87.117694768167
NAPA,2015,2,76915,46.7439770033306
NATIONAL CITY,2013,3,58582,23.614980948578
NEEDLES,1986,4,4844,81.0023038984437
NEVADA CITY,2020,1,3068,5.6770839903339
NEWARK,2015,2,42573,35.9966836505414
NEWMAN,2016,2,10224,5.34034113177562
NEWPORT BEACH,2013,3,85186,137.145088562085
NORCO,2014,3,27063,36.2477677599081
NORWALK,2013,3,105549,25.2468501660722
NOVATO,2020,1,51904,72.4181732911774
OAKDALE,2013,3,20675,15.7037876197075
OAKLAND,2014.0,2,390724,201.660338175808
OAKLEY,2016,2,35432,41.8897725645718
OCEANSIDE,2013,3,167086,109.233812863231
OJAI,2013,3,7461,11.3015242380038
ONTARIO,2022,1,163924,129.488906185657
ORANGE,2017,2,134616,66.8126096609996
ORANGE COVE,2000,4,9078,4.64074548303166
ORINDA,1994.0,4,17643,33.3286064649499
ORLAND,2003.0,4,7291,7.54726349526217
OROVILLE,2015,2,15546,35.9069157152539
OXNARD,2017,2,197899,101.548230676435
PACIFIC GROVE,1994,4,15041,10.3292984752301
PACIFICA,2015,2,37234,32.7986414109523
PALM DESERT,2016,2,48445,69.9754490108942
PALM SPRINGS,2014,3,44552,245.986325842447
PALMDALE,2001,4,152750,275.08688497116
PALO ALTO,2017,2,64403,66.7507529006605
PALOS VERDES ESTATES,2014,3,13438,12.3649506239336
PARADISE,2014,3,26218,47.4808000735246
PARAMOUNT,2014,3,54098,12.5347570747285
PARLIER,2016,2,14494,6.00129779128183
PASADENA,2016,2,137122,59.9017543172901
PASO ROBLES,2020,1,29793,0.0
PATTERSON,2014,3,20413,15.4669858914509
PERRIS,2016,2,68386,82.0268016148255
PETALUMA,2012,3,57941,37.5276808192562
PICO RIVERA,2014,3,62942,23.0034831127932
PIEDMONT,2014,3,10667,4.40217139131126
PINOLE,2015,2,18390,30.4562948547013
PISMO BEACH,2020,1,7655,34.9045891379466
PITTSBURG,2015,2,63264,49.5929453862334
PLACENTIA,2014,3,50533,17.166740212208
PLACERVILLE,2016,2,10389,15.0549608984037
PLEASANT HILL,2015,2,33152,18.3257789212615
PLEASANTON,2015,2,70285,62.8755289680623
PLYMOUTH,2015,2,1005,2.44364985031809
POINT ARENA,2019,2,449,3.49601378093747
POMONA,2014,3,149058,59.4729483633821
PORT HUENEME,2021,1,21723,12.0963132948504
PORTERVILLE,2007,4,54165,48.217376351117
PORTOLA,2012,3,2104,14.0034393321489
PORTOLA VALLEY,2015,2,4353,23.5672856735491
POWAY,2010,3,47811,101.437730090616
RANCHO CORDOVA,2015,2,64776,91.2220379061939
RANCHO CUCAMONGA,2010,3,165269,103.587135334638
RANCHO MIRAGE,2017,2,17218,65.2449854580203
RANCHO PALOS VERDES,2018,2,41643,34.8784462004652
RANCHO SANTA MARGARITA,2020,1,47853,33.514016552137
RED BLUFF,2020,1,14076,19.8821681152347
REDDING,2020,1,89861,158.442285660795
REDLANDS,2017.0,2,68747,94.1002117513658
REDONDO BEACH,2012.0,3,66747,16.0800341416509
REDWOOD CITY,2014,3,76815,89.8012750618384
REEDLEY,2014,3,24194,14.2079909889618
RIALTO,2010,3,99171,57.8616330028984
RICHMOND,2015.0,2,103701,136.006540272179
RIDGECREST,2015,2,27616,55.7648832557825
RIO DELL,2019,2,3368,6.25893980646349
RIO VISTA,2001,4,7360,18.2312098156574
RIPON,2016,2,14297,14.1355031821206
RIVERBANK,2009,4,22678,10.5566576534475
RIVERSIDE,2018,2,303871,211.181622526823
ROCKLIN,2013,3,56974,50.7591738119883
ROHNERT PARK,2000,4,40971,18.1511593544528
ROLLING HILLS,2013,3,1860,7.74228393811132
ROLLING HILLS ESTATES,2014,3,8067,9.35883931820434
ROSEMEAD,2013,3,53764,13.4056099842348
ROSEVILLE,2020,1,118788,111.341212134012
ROSS,2007,4,2415,4.03068561352164
SACRAMENTO,2024,1,466488,259.273520394346
SALINAS,2015,2,150441,61.2494210942602
SAN ANSELMO,2019,2,12336,6.93383454296903
SAN BERNARDINO,2014,3,209924,160.452914871794
SAN BRUNO,2015,2,41114,14.1444030511755
SAN CARLOS,2015,2,28406,14.2814146851244
SAN CLEMENTE,2014,3,63522,49.5076983374685
SAN DIEGO,2020,1,1301617,964.497645860295
SAN DIMAS,2013,3,33371,39.9571511381219
SAN FERNANDO,2014.0,2,23645,6.14870051344287
SAN FRANCISCO,2015,2,805235,600.594362586297
SAN GABRIEL,2013,3,39718,10.7361961431253
SAN JACINTO,2013,3,44199,67.6473729809206
SAN JOAQUIN,2016,2,4001,3.10120035125926
SAN JOSE,2021,1,945942,467.553045195061
SAN JUAN BAUTISTA,2019,2,1862,1.84318381786545
SAN JUAN CAPISTRANO,2017,2,34593,37.3747942322113
SAN LEANDRO,2016.0,2,84950,40.2478049199487
SAN LUIS OBISPO,2020,1,45119,34.4076829744203
SAN MARCOS,2013,3,83781,63.1579258098538
SAN MARINO,2014,3,13147,9.77498471468218
SAN MATEO,2016,2,97207,41.1372195741173
SAN PABLO,2015,2,29139,6.8107481362222
SAN RAFAEL,2021,1,57713,58.3182160818598
SAN RAMON,2015,2,72148,48.2866469113427
SAND CITY,2015.0,2,334,7.57506201124381
SANGER,2013,3,24270,14.9318444599386
SANTA ANA,2014,3,324528,70.9452463895326
SANTA BARBARA,2015,2,88410,108.753388977839
SANTA CLARA,2014,3,116468,47.6788833336445
SANTA CLARITA,2013,3,176320,136.777645286528
SANTA CRUZ,2016,2,59946,40.9957404943676
SANTA FE SPRINGS,2014,3,16223,23.0826538470542
SANTA MARIA,2015,2,99553,60.6540458230557
SANTA MONICA,2002,4,89736,21.7982458998513
SANTA PAULA,2020,1,29321,12.1889125817923
SANTA ROSA,2020,1,167815,107.478311427524
SANTEE,2021,1,53413,42.8171730414008
SARATOGA,2014,3,29926,32.3199634475953
SAUSALITO,2015,2,7061,5.84564984941983
SCOTTS VALLEY,2016,2,11580,11.9605279712265
SEAL BEACH,2013,3,24168,33.5814794298234
SEASIDE,2010,3,33025,24.2908369680992
SEBASTOPOL,2016,2,7379,4.81776939322923
SELMA,2015,2,23219,13.3071865927332
SHAFTER,2005,4,16988,72.3762528470468
SHASTA LAKE,2020,1,10164,28.3045631409804
SIERRA MADRE,2015,2,10917,7.65849287921364
SIGNAL HILL,2001,4,11016,5.64131178089323
SIMI VALLEY,2014,3,124237,109.406097742187
SOLANA BEACH,2014,3,12867,9.38556747358523
SOLEDAD,2019,2,25738,11.8245785804954
SOLVANG,2015,2,5245,6.28436097793888
SONOMA,2016,2,10648,7.10585306699268
SONORA,2007,4,4903,8.22695665901009
SOUTH EL MONTE,2019,2,20116,7.37807760223458
SOUTH GATE,2014,3,94396,19.0443934756776
SOUTH LAKE TAHOE,2011,3,21403,42.9939905941822
SOUTH PASADENA,2014,3,25619,8.85132395158531
SOUTH SAN FRANCISCO,2015,2,63632,78.2051448554634
ST. HELENA,2015,2,5814,13.0229411724809
STANTON,2013,3,38186,8.02200751183988
STOCKTON,2018,2,291707,167.701802142041
SUISUN CITY,2015,2,28111,10.7825226856235
SUNNYVALE,2017,2,140081,58.7542649168484
SUSANVILLE,1999,4,17947,20.7982683750237
SUTTER CREEK,2019,2,2501,6.79326239311027
TAFT,2017,2,9327,39.532533549709
TEHACHAPI,2015,2,14414,25.8257583801154
TEHAMA,2014,3,418,2.05721512872191
TEMECULA,2013,3,100097,96.548804394231
TEMPLE CITY,2014,3,35558,10.3713780096679
THOUSAND OAKS,2017.0,2,126683,143.307703933022
TIBURON,2016,2,8962,34.2303109040411
TORRANCE,2013,3,145538,53.2326720307856
TRACY,2015,2,82922,57.7010503194045
TRINIDAD,1997,4,367,1.73802908280559
TRUCKEE,2019,2,16180,87.1621625901063
TULARE,2015,2,59278,52.968491266786
TULELAKE,2015,2,1010,1.0674899740663
TURLOCK,2016,2,68549,43.9003475308644
TUSTIN,2018,2,75540,28.7770412205856
TWENTYNINE PALMS,2013,3,25048,153.178993944704
UKIAH,2016,2,16075,12.2320076140056
UNION CITY,2015,2,69516,50.2449951051668
UPLAND,2015.0,2,73732,40.5475138686242
VACAVILLE,2015,2,92428,75.1572355757442
VALLEJO,2017,2,115942,128.311043207851
VENTURA,2005,4,106433,0.0
VERNON,2015,2,112,13.3567296097452
VICTORVILLE,2008,4,115903,191.378815873316
VILLA PARK,2017,2,5812,5.38385740707446
